EXISTING_INFO_ID,PROGRAM_SITE_ID,SITE_TYPE,PROGRAM_NAME,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,URL_SITE,LOCATION_DESCRIPTION,ADDITIONAL_COMMENTS,COUNTY,CREATED_DT,UPDATED_DT
99,"157",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.07 Delta-Mendota,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Merced,01/19/2020 16:19,01/19/2020 16:19
102,"2062",Surveying/Benchmark Sites,San Joaquin River Restoration Program,5-022.05 Chowchilla,Merced Irrigation-Urban GSA,,SGMA,"Land Subsidence,Land Subsidence",,http://www.restoresjr.net/science/subsidence-monitoring/,,,Madera,01/19/2020 16:19,01/19/2020 16:19
111,MMF,Stream Gage,California Data Exchange Center,5-022.03 Turlock,Merced Irrigation-Urban GSA,,SGMA,"Interconnected Surface Waters,Interconnected Surface Waters",,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=MMF,,,Merced,01/19/2020 16:19,01/19/2020 16:19
123,2701325-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602701325&assigned_name=2701325%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
125,2701820-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602701820&assigned_name=2701820%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
146,2700992-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602700992&assigned_name=2700992%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
151,2702456-002,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602702456&assigned_name=2702456%2D002&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
160,2702320-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602702320&assigned_name=2702320%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
163,2710010-023,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602710010&assigned_name=2710010%2D023&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
174,2702482-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602702482&assigned_name=2702482%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
189,2701515-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602701515&assigned_name=2701515%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
196,2701498-001,Groundwater Wells,GAMA Division of Drinking Water Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA Representative,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=DHS&samp_date=&global_id=W0602701498&assigned_name=2701498%2D001&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
207,AGL020004436-STONEWALL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004436&assigned_name=STONEWALL&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
233,AGC100000001-CCGC_0046,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0046&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
241,AGC100000001-CCGC_0039,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0039&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
250,AGC100000001-CCGC_0057,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0057&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
257,AGL020000702-PU AGWELL 1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020000702&assigned_name=PU+AGWELL+1&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
264,AGL020002669-71908,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020002669&assigned_name=71908&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
269,AGL020027837-AG WELL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020027837&assigned_name=AG+WELL&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
270,AGL020027938-AG_HOOKER1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020027938&assigned_name=AG%5FHOOKER1&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
271,AGL020004069-HARRIS_YUKI,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004069&assigned_name=HARRIS%5FYUKI&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
275,AGL020002669-71906,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020002669&assigned_name=71906&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
276,AGL020003051-AF01-01DOM,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020003051&assigned_name=AF01%2D01DOM&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
278,AGL020000972-CCGC_0032,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020000972&assigned_name=CCGC%5F0032&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
284,AGL020001971-WELL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001971&assigned_name=WELL&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
286,AGL020027970-CHULAR W1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020027970&assigned_name=CHULAR+W1&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
288,AGL020007535-GH17-02,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020007535&assigned_name=GH17%2D02&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
298,AGC100000001-CCGC_0159,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0159&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
305,AGL020004370-VIOPUMP3_I,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004370&assigned_name=VIOPUMP3%5FI&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
307,AGL020008433-17-DOM,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020008433&assigned_name=17%2DDOM&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
308,AGL020008438-R16-19,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020008438&assigned_name=R16%2D19&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
323,AGL020008405-WINGMAS4_I,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020008405&assigned_name=WINGMAS4%5FI&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
325,AGL020005049-AG WELL 1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020005049&assigned_name=AG+WELL+1&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
336,AGL020001183-HOUSE LOT 12,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001183&assigned_name=HOUSE+LOT+12&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
343,AGC100000001-CCGC_0122,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0122&store_num=,,,Monterey,01/21/2020 14:08,01/21/2020 14:08
359,AGL020001183-HOUSE LOT 17,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001183&assigned_name=HOUSE+LOT+17&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
361,AGL020002899-R21_YARD1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020002899&assigned_name=R21%5FYARD1&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
381,AGL020030108-FLEW_W1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020030108&assigned_name=FLEW%5FW1&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
387,AGL020004072-VIOLOT3_I,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004072&assigned_name=VIOLOT3%5FI&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
390,AGL020028315-#2BAILIE IRR,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020028315&assigned_name=%232BAILIE+IRR&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
391,AGL020027974-BAILLIE_2,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020027974&assigned_name=BAILLIE%5F2&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
399,AGL020009043-POZZI,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020009043&assigned_name=POZZI&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
401,AGL020003699-BLUE_IRR,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020003699&assigned_name=BLUE%5FIRR&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
403,AGC100000001-CCGC_0123,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0123&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
405,AGL020004169-WELL 2,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004169&assigned_name=WELL+2&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
423,AGL020001229-AW 1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001229&assigned_name=AW+1&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
424,AGL020004298-HILLTOWN_WELL_1,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004298&assigned_name=HILLTOWN%5FWELL%5F1&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
425,AGC100000001-CCGC_0010,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0010&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
430,AGL020001162-BRUN_AG,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001162&assigned_name=BRUN%5FAG&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
443,AGL020001221-BRAMERS WELL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020001221&assigned_name=BRAMERS+WELL&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
458,AGC100000001-CCGC_0441,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0441&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
464,AGC100000001-CCGC_0550,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGC100000001&assigned_name=CCGC%5F0550&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
468,AGL020017226-DOM WELL,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020017226&assigned_name=DOM+WELL&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
479,AGL020004640-CCGC_0546,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020004640&assigned_name=CCGC%5F0546&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
488,AGL020003934-CCGC_0110,Groundwater Wells,GAMA Irrigated Lands Program Wells,3-004.01 180/400 Foot Aquifer,Salinas Valley Basin GSA - 180/400 Foot Aquifer,,SGMA,Water Quality,,https://gamagroundwater.waterboards.ca.gov/gama/gamamap/public/GamaDataDisplay.asp?dataset=AGLAND&samp_date=&global_id=AGL020003934&assigned_name=CCGC%5F0110&store_num=,,,Monterey,01/21/2020 14:09,01/21/2020 14:09
