"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","State or Federal Agency ID","Number of Associated Structures","Designer Names","Non-Federal Dam on Federal Property","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Source Agency","Latitude","Longitude","County","State","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional Representative District","Congressional Representative","Section, Township, or Range Location","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Primary Purpose","Purposes","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks","Lock Width (Ft)","Years Modified","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL"
"Merry Dam","","","WA00374","","WA00374","WA DFW","State","State","GR41-0374","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.844854999999995","-119.856156","Grant","Washington","BEVERLY","4","TR-LOWER CRAB CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S30 T16 R24E","","","","","","","","","Recreation","Recreation","Rockfill","Rockfill;Earth","Earth","Soil","7","7","10","10","Less than 25 feet","206","0","1976","1970-1979","105","105","66","140","29.900000000000002","219","","0","0","0","0","","","2021-04-09","1998-06-05","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Little Green Lake Dam","","","WA00080","","WA00080","WA DFW","State","State","OK49-0080","0","WA DEPT. OF GAME","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.43492","-119.63112","Okanogan","Washington","OKANOGAN","6","TR-SALMON CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S24 T34 R25E","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","Earth","Earth","Soil","9","9","11","11","Less than 25 feet","88","0","1959","1950-1959","730","730","400","50","1.41","","","0","0","0","0","","","2021-04-09","2019-08-20","5","High","Fair","2019-08-20","No","","https://damsafety.org/washington"
"Lake Kittyprince Dam","Pattie Prince Dam","","WA00201","","WA00201","WA DNR","State","State","KI07-0201","0","WA DEPT OF GEN. ADMIN.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.519113999999995","-121.894508","King","Washington","","0","ICY CREEK","Congressional District 08, Washington","Kim Schrier (D)","S34 T24 R7E","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","12","12","15","15","Less than 25 feet","385","0","1967","1960-1969","96","96","62","17","0.45","","","0","0","0","0","","","2021-04-09","2015-06-18","5","High","Poor","2015-06-24","Yes","2015-10-08","https://damsafety.org/washington"
"Alkali Lake","","","WA00314","","WA00314","WA DFW","State","State","GR42-0314","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.516189999999995","-119.501346","Grant","Washington","SOAP LAKE","7","TR-COLUMBIA RIVE","Congressional District 04, Washington","Dan Newhouse (R)","S1 T23 R26E","","","","","","","","","Recreation","Recreation","Rockfill","Rockfill;Gravity","Earth","Rock;Soil","9","9","12","12","Less than 25 feet","500","0","1950","1950-1959","2449","2449","2000","290","3600","110","","0","0","0","0","","","2021-04-09","1998-05-01","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Lyon Lake Dam","","","WA00043","","WA00043","WA DFW","State","State","GR41-0043","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.273761","-119.328904","Grant","Washington","NONE","0","TR-CRAB CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S32 T21 R28E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Rock;Soil","9","9","13","13","Less than 25 feet","530","0","1971","1970-1979","68","68","50","18","2.96","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"804 Reservoir Dam","<Unknown>","","WA00413","","WA00413","WA DFW","State","State","FR36-0413","0","WESTERN PACIFIC ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.570761999999995","-119.011039","Franklin","Washington","MESA","2","OFFSTREAM","Congressional District 04, Washington","Dan Newhouse (R)","S35 T13 R30E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Earth","Soil","10","10","12","12","Less than 25 feet","150","0","1979","1970-1979","160","160","90","10","0.2","50","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Fish Lake Dam","","","WA00323","","WA00323","WA DFW","State","State","OK49-0323","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.609699","-119.68496400000001","Okanogan","Washington","NONE","0","COULEE CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S22 T36 R25E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Unlisted/Unknown","7","7","7","7","Less than 25 feet","50","0","1920","1920-1929","2815","2815","2815","100","10.6","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Kohne Dam No. 2","","","WA01268","","WA01268","WA DFW","State","State","DO44-1268","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.449621","-119.68348399999999","Douglas","Washington","NONE","","TR-RATTLESNAKE CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S34 T23 R25E","","","Natural Resources Conservation Service","","","","","","Irrigation","Irrigation","Earth","Earth","Earth","Soil","4","4","7","7","Less than 25 feet","3000","0","1950","1950-1959","100","100","0","","","720","","0","0","0","0","","","2021-05-24","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Chalfa Dam","Wenner Lakes Dam No. 3","","WA00328","","WA00328","WA DFW","State","State","OK48-0328","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.332042","-119.99781300000001","Okanogan","Washington","CARLTON","4","TR-BENSON CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S30 T33 R23E","","","","","","","","","Irrigation","Irrigation;Recreation","Earth","Earth","Earth","Soil","12","12","17","17","Less than 25 feet","250","0","1940","1940-1949","80","80","50","9","6.6000000000000005","100","","0","0","0","0","1992O","","2021-04-09","2015-10-22","5","High","Fair","2015-10-22","No","","https://damsafety.org/washington"
"Barnaby Slough No. 2 Dam","","","WA00156","","WA00156","THE NATURE CONSERVANCY","State","State","SK04-0156","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.478927","-121.551038","Skagit","Washington","ROCKPORT","3","TR-SKAGIT RIVER","Congressional District 01, Washington","Suzan K. DelBene (D)","S31 T35 R10E","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","Earth","Earth","Soil","9","9","14","14","Less than 25 feet","230","0","1968","1960-1969","157","157","124","43","4.33","","","0","0","0","0","","","2021-04-09","1998-05-07","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Lawrence Lake Dam","","","WA00414","","WA00414","WA DFW","State","State","TH13-0414","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.84833333","-122.5816667","Thurston","Washington","VAIL","5","TR-DESCHUTES RIVER","Congressional District 03, Washington","Jaime Herrera Beutler (R)","S29 T16 R2E","","","","","","","","","Recreation","Recreation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","30","30","30","30","25-50 feet","120","0","1918","1910-1919","5000","5000","4379","330","3.35","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Sasse Reservoir Dam","","","WA00324","","WA00324","WA DFW","State","State","OK49-0324","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.617782999999996","-119.665448","Okanogan","Washington","NONE","0","TR-OKANOGAN RIVER","Congressional District 04, Washington","Dan Newhouse (R)","S14 T36 R25E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","8","8","10","10","Less than 25 feet","140","0","1910","1910-1919","60","60","60","3","3.8200000000000003","150","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Bennettsen Lake Dam","Camp Lyle Mcleod","","WA00351","","WA00351","WA DNR STATE LAND DIVISIONS","State","State","MA15-0351","0","USDA NRCS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.468274","-122.959727","Mason","Washington","NONE","","TR-TAHUYA RIVER","Congressional District 06, Washington","Derek Kilmer (D)","S20 T23 R2W","","","Natural Resources Conservation Service","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","6","6","11","11","Less than 25 feet","150","0","1971","1970-1979","270","270","253","28","0.18","37","","0","0","0","0","","","2021-05-24","2001-06-03","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Summit Lake Dam","Summit Lake Dam","","WA01144","","WA01144","BOY SCOUTS OF AMERICA","State","State","TH14-1144","0","WA STATE GAME DEPT.","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.052721999999996","-123.124341","Thurston","Washington","NONE","0","KENNEDY CREEK","Congressional District 10, Washington","Denny Heck (D)","S13 T18 R4W","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","3","3","7","7","Less than 25 feet","90","0","1955","1950-1959","1570","1570","1570","130","","","","0","0","0","0","","","2021-04-09","1998-05-07","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Wsr Dairy Waste Lagoon","","","WA00665","","WA00665","WA DOC","State","State","SN07-0665","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.80869551","-121.9863774","Snohomish","Washington","","","","Congressional District 01, Washington","","","","","","","","","","","Other","Other","Earth","Earth","","","17","14","17","17","Less than 25 feet","2250","","1998","1990-1999","82","82","61","","","","","","","","","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Horn School Rest Area Sewage Lagoon","","","WA01766","","WA01766","WA DOT","State","State","WT34-1766","0","WA STATE DOT","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.18364","-117.376945","Whitman","Washington","NONE","0","OFFSTREAM","Congressional District 05, Washington","Cathy McMorris Rodgers (R)","S34 T20 R43E","","","","","","","","","Other","Other","Earth","Earth","Plastic","Soil","9","9","9","9","Less than 25 feet","1200","0","1996","1990-1999","22","22","14","2.6","","10","","0","0","0","0","","","2021-04-09","2016-10-19","5","High","Satisfactory","2016-10-19","Yes","2020-01-28","https://damsafety.org/washington"
"Bernsens 810 Reservoir Dam No. 3","","","WA00404","","WA00404","WA DFW","State","State","FR36-0404","0","MONEK ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.566635","-119.027296","Franklin","Washington","MESA","2","OFFSTREAM","Congressional District 04, Washington","Dan Newhouse (R)","S35 T13 R30E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","10","10","10","10","Less than 25 feet","110","0","1979","1970-1979","165","165","100","8.5","0.03","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Campbell Lake Dam","","","WA00513","","WA00513","WA DFW","State","State","OK48-0513","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","48.439943","-120.065729","Okanogan","Washington","NONE","0","TR-BEAVER CREEK","Congressional District 04, Washington","Dan Newhouse (R)","S15 T34 R22E","","","","","","","","","Recreation","Recreation","Earth","Earth","Earth","Soil","8","8","10","10","Less than 25 feet","75","0","1948","1940-1949","85","85","50","11.200000000000001","3.2","50","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Bernsens 810 Reservoir Dam No. 2","","","WA00403","","WA00403","WA DFW","State","State","FR36-0403","0","MONEK ENGINEERING","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.567502999999995","-119.031699","Franklin","Washington","MESA","2","OFFSTREAM","Congressional District 04, Washington","Dan Newhouse (R)","S34 T13 R30E","","","","","","","","","Irrigation","Irrigation","Earth","Earth","Unlisted/Unknown","Unlisted/Unknown","15","15","15","15","Less than 25 feet","160","0","1979","1970-1979","165","165","100","8.5","0.03","","","0","0","0","0","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Rocky Reach","Lake Entiat","","WA00086","","WA00086","PUD #1 of Chelan County, WA","Public Utility","Public Utility","02145-01-01","1","Stone & Webster Engineering Corporation","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.533443","-120.29549","Chelan","Washington","Wenatchee, WA                                     ","6","Columbia River                ","Congressional District 08, Washington","Kim Schrier (D)","T24N,R20E,S35,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric;Flood Risk Reduction","Gravity","Gravity","Concrete","Rock","118","112","130","130","Greater than 100 feet","3820","1049000","1962","1960-1969","390000","390000","382000","9810","87800","1200000","Controlled","600","","","","","Tainter (radial)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-12-30","https://damsafety.org/washington"
"Culmback","","","WA00208","","WA00208","PUD #1 of Snohomish County, WA","Public Utility","Public Utility","02157-01-01","1","R.W. BECK & ASSOCIATES","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.974917","-121.68599499999999","Snohomish","Washington","Sultan, WA                                        ","16","Sultan River,  Skykomish River","Congressional District 01, Washington","Suzan K. DelBene (D)","T29N,R9E,S29,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Recreation;Hydroelectric;Water Supply;Flood Risk Reduction","Rockfill","Rockfill","Earth","Rock;Soil","262","242","262","262","Greater than 100 feet","640","740000","1983","1980-1989","193440","193440","153260","1870","68","57132","Uncontrolled","0","","","","","","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-12-18","https://damsafety.org/washington"
"Swift No 2 Hydroelectric Project","","","WA00258","","WA00258","PUD #1 of Cowlitz County, WA","Public Utility","Public Utility","02213-01-01","1","Bechtel Corporation","","No","No","","No","No","No","Federal Energy Regulatory Commission","46.0599","-122.2599","Cowlitz","Washington","Cougar, WA                                        ","2","Lewis River                   ","Congressional District 03, Washington","Jaime Herrera Beutler (R)","SEC 25, T7N, R4; SEC 28, T7N,R","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric","Earth","Earth","Earth","Rock","106","63","121","121","Greater than 100 feet","16700","2000000","1959","1950-1959","2500","2500","2400","95","","8000","Uncontrolled","537","","","","","","2021-06-14","2019-08-23","3","Low","Not Available","","Yes","2020-12-17","https://damsafety.org/washington"
"Rock Island","","","WA00084","","WA00084","PUD #1 of Chelan County, WA","Public Utility","Public Utility","00943-01-01","1","Stone & Webster Engineering Corporation","","No","No","","No","No","No","Federal Energy Regulatory Commission","47.342358999999995","-120.094324","Douglas","Washington","Vantage, WA                                       ","32","Columbia River                ","Congressional District 04, Washington","Dan Newhouse (R)","T21N,R22E,S5,WM","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","Hydroelectric","Hydroelectric;Flood Risk Reduction","Gravity","Gravity","Concrete","Rock","71","55.1","61","71","51-100 feet","3108","0","1932","1930-1939","131000","131000","113700","3120","89400","920000","Controlled","961","","","","","Slide (sluice gate)","2021-06-14","2020-09-30","1","High","Not Available","","Yes","2020-12-30","https://damsafety.org/washington"
"Shillapoo Lake Dikes","","","WA00712","","WA00712","WA DFW","State","State","CK28-0712","","","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","45.709542","-122.74058099999999","Clark","Washington","","","","Congressional District 03, Washington","","","","","","","","","","","Fish and Wildlife Pond","Fish and Wildlife Pond","Earth","Earth","","","10","10","10","10","Less than 25 feet","7400","","2007","Since 2000","3190","3190","1115","","","","","","","","","","","2021-04-09","","0","Low","Not Rated","","Not Required","","https://damsafety.org/washington"
"Eden Creek Dam","<Unknown>","","WA00179","","WA00179","WA DOC","State","State","PI15-0179","0","DOJ BOP","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.199874","-122.696918","Pierce","Washington","NONE","0","EDEN CREEK","Congressional District 10, Washington","Denny Heck (D)","S20 T20 R1E","","","","","","","","","Water Supply","Water Supply","Earth","Earth","Earth","Soil","25","25","40","40","25-50 feet","270","0","1937","1930-1939","115","115","77","10","0.3","75","","0","0","0","0","1991O","","2021-04-09","2006-11-21","0","Low","Not Rated","","Yes","1995-07-01","https://damsafety.org/washington"
"Redmond Ridge Cedar Dam","","","WA01802","","WA01802","KING COUNTY NAT RESOURCES AND PARKS","Local Government","Local Government","KI08-1802","0","BELLEVUE, WA;HUGH GOLDSMITH ENGINEERS","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","47.69085708","-122.0440808","King","Washington","REDMOND","6","OFFSTREAM-TRIBUTARY TO BEAR CR","Congressional District 01, Washington","Suzan K. DelBene (D)","S33 T26 R6E","","","","","","","","","Flood Risk Reduction","Flood Risk Reduction","Earth","Earth","Earth","Soil","26","26","26","26","25-50 feet","300","0","1998","1990-1999","62","62","32.4","2","0.17","53","","0","0","0","0","","","2021-04-09","2016-06-01","5","High","Fair","2016-06-01","Yes","2019-03-28","https://damsafety.org/washington"
"Sylvia Lake Dam_Grays Hrbr Co","","","WA00132","","WA00132","WA PARKS","State","State","GH22-0132","0","UNKNOWN","","Yes","Yes","WASHINGTON, DEPT OF ECOLOGY","Yes","Yes","Yes","Washington","46.996078999999995","-123.59837999999999","Grays Harbor","Washington","MONTESANO","2","SYLVIA CREEK","Congressional District 06, Washington","Derek Kilmer (D)","S31 T18 R7W","","","","","","","","","Recreation","Recreation","Buttress","Buttress","Earth","Soil","32","32","32","32","25-50 feet","120","0","1918","1910-1919","510","510","320","32","5.07","1510","","0","0","0","0","1991O;1995O","","2021-04-09","2019-05-08","5","High","Poor","2019-05-08","Yes","1995-07-01","https://damsafety.org/washington"
