provider_id,nhdpv2_COMID,nhdpv2_REACHCODE,nhdpv2_REACH_measure,Type_HUC12,Type_Gages,Type_TE,Type_NID,Type_WBIn,Type_WBOut,Type_Conf,Dam Name,Other Names,Former Names,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,State or Federal Agency ID,Number of Associated Structures,Designer Names,Non-Federal Dam on Federal Property,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Source Agency,Latitude,Longitude,County,State,City,Distance to Nearest City (Miles),River or Stream Name,Congressional Representative District,Congressional Representative,"Section, Township, or Range Location",Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Primary Purpose,Purposes,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks,Lock Width (Ft),Years Modified,Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL
248,1726313,01020004000001,3.75439,010200040604,NA,NA,ME00155,NA,NA,NA,Howland,NA,NA,NA,ME00155,Penobscot River Restoration Trust,Private,Private,02721-01-01,0,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,45.2394,-68.6575,Penobscot,Maine,Howland,0,Piscataquis River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,Concrete,Gravity;Concrete,NA,NA,16.8,NA,NA,16.8,Less than 25 feet,660,NA,1916,1910-1919,3400,3400,3400,270,1500,42525,Uncontrolled,570,NA,NA,NA,NA,Slide (sluice gate),2021-06-14,2015-08-26,NA,Low,Not Available,NA,Not Required,2013-01-04,https://damsafety.org/maine
259,1720933,01020004000206,0,010200040301,NA,NA,ME00604,NA,NA,NA,Wilson Stream,Wilson Stream,Penstock,NA,ME00604,KEI (USA) Power Management Inc.,Private,Private,43.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,45.452075,-69.53269399999999,Piscataquis,Maine,NA,NA,Big Wilson Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Hydroelectric,Hydroelectric,Concrete,Concrete,NA,NA,36,30,36,36,25-50 feet,150,NA,1920,1920-1929,20070,20070,15053,7,0,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-02,2019-10-21,12,Low,Poor,2019-10-21,Not Required,NA,https://damsafety.org/maine
263,1722257,01020004000243,0,010200040203,NA,NA,ME00157,NA,NA,NA,Upper Dam,Moosehead Dam,NA,NA,ME00157,"Town of Dover-Foxcroft, ME",Local Government,Local Government,05912-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,45.1837,-69.23,Piscataquis,Maine,Dover-Foxcroft,0,Piscataquis River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Hydroelectric;Flood Risk Reduction,Concrete,Gravity;Concrete,NA,NA,12,NA,NA,12,Less than 25 feet,200,NA,1908,1900-1909,200,200,200,30,295,22000,Uncontrolled,122,NA,NA,NA,NA,Slide (sluice gate),2021-06-14,2018-09-25,3,Low,Not Available,NA,Not Required,2013-10-25,https://damsafety.org/maine
264,1722335,01020004000250,0,010200040111,NA,NA,ME00158,NA,NA,NA,Guilford,Guilford,NA,NA,ME00158,"True Textiles, Inc",Private,Private,731.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,45.168386,-69.385165,Piscataquis,Maine,NA,NA,Piscataquis River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,Concrete,Concrete,NA,NA,12,12,12,12,Less than 25 feet,169,NA,1963,1960-1969,165,165,120,2,295,NA,NA,6,NA,NA,NA,NA,NA,2021-04-02,NA,12,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/maine
270,1722367,01020004000343,0,010200040201,NA,NA,ME00167,NA,NA,2246213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,1737066,01020005000004,63.20769,010200051006,NA,NA,ME00144,NA,NA,NA,Alamoosook Lake,Alamoosook Lake,NA,NA,ME00144,"Bucksport Generation, LLC",Private,Private,110.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.592142,-68.721345,Hancock,Maine,Orland,NA,Narramissic River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Water Supply;Other,Concrete,Rockfill;Gravity;Concrete,NA,NA,15,15,15,15,Less than 25 feet,165,NA,1930,1930-1939,2750,2750,2200,1133,0,NA,NA,62,NA,NA,NA,NA,NA,2021-04-02,2020-07-23,6,Significant,Fair,2020-07-23,Yes,2020-03-13,https://damsafety.org/maine
313,1737122,01020005000434,0,010200050904,NA,NA,ME00149,NA,NA,2245054,Frankfort,Frankfort,Marsh River,NA,ME00149,Frankfort,Local Government,Local Government,431.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.609096,-68.873128,Waldo,Maine,NA,NA,Marsh Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire Protection, Stock, Or Small Fish Pond","Hydroelectric;Fire Protection, Stock, Or Small Fish Pond",Concrete,Stone;Masonry;Gravity;Concrete,NA,NA,18,18,18,18,Less than 25 feet,260,NA,1840,Before 1900,90,90,72,20,166,NA,NA,150,NA,NA,NA,1971,NA,2021-04-02,NA,12,Low,Not Rated,2012-06-14,Not Required,NA,https://damsafety.org/maine
322,1732092,01020005001200,4.56703,010200050202,NA,NA,ME00743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,1736860,01020005001708,0,010200050603,NA,NA,ME00137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,1737262,01020005001742,2.97386,010200050510,NA,NA,ME00138,NA,NA,NA,Orono,NA,NA,NA,ME00138,"Black Bear Hydro Partners, LLC, Black Bear Development Holdings, LLC & Black Bear SO, LLC",Private,Private,02710-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,44.883277,-68.664883,Penobscot,Maine,Orono,0,Stillwater River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,Concrete,Buttress;Gravity;Concrete,NA,NA,15,NA,NA,15,Less than 25 feet,1178,NA,1917,1910-1919,1300,1300,1300,175,7710,48000,Uncontrolled,617,NA,NA,NA,NA,NA,2021-06-14,2017-06-07,3,Low,Not Available,NA,Not Required,2016-08-05,https://damsafety.org/maine
341,1022290,01030001000213,0,010300010507,NA,NA,ME00405,NA,NA,2259639,Lazy Tom,Lazy Tom,NA,NA,ME00405,"Plum Creek Maine Timberlands, LLC",Private,Private,908.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,45.691503999999995,-69.434125,Piscataquis,Maine,NA,NA,Lazy Tom Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation,Rockfill,Rockfill;Gravity,NA,NA,8,6,8,8,Less than 25 feet,100,NA,1900,1900-1909,58,58,43,0,0,NA,NA,16,NA,NA,NA,1953,NA,2021-04-02,NA,12,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/maine
377,1032545,01030002002649,0,010300020304,NA,NA,ME00127,NA,1031669,NA,Flagstaff,Long Falls Dam,NA,NA,ME00127,NA,Not Listed,Not Listed,02612-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,45.223200000000006,-70.2014,Somerset,Maine,The Forks,17,Dead River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric;Water Supply;Flood Risk Reduction,NA,Earth;Gravity;Concrete,NA,NA,45,NA,NA,45,25-50 feet,1339,NA,1948,1940-1949,275482,275482,275482,17950,516,20000,Controlled,625,NA,NA,NA,NA,Tainter (radial);Slide (sluice gate),2021-06-14,2020-09-30,1,High,Not Available,NA,Yes,2019-12-23,https://damsafety.org/maine
378,1032539,01030002002778,0,010300020102,NA,NA,ME00130,NA,NA,NA,Chain of Ponds,Chain of Ponds,Chain Lake,NA,ME00130,IFW/State of Maine,State,State,388.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,45.31333333,-70.62666667,Franklin,Maine,NA,NA,North Branch Dead River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Fish and Wildlife Pond;Recreation;Other,Concrete,Earth;Timber Crib;Concrete,NA,NA,16,14,16,16,Less than 25 feet,433,NA,1900,1900-1909,3006,3006,3000,700,0,NA,NA,109,NA,NA,NA,1970,NA,2021-04-02,NA,12,Low,Not Rated,NA,Not Required,NA,https://damsafety.org/maine
390,3320288,01030003000168,0,010300031802,NA,NA,ME00330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,3322598,01030003000321,0,010300031403,NA,NA,ME00118,NA,NA,NA,Wesserunsett,Wesserunsett,East Madison,NA,ME00118,Madison,Local Government,Local Government,602.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.84666667,-69.75916667,Somerset,Maine,Madison,NA,Mill Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Flood Risk Reduction,"Fish and Wildlife Pond;Recreation;Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Other",Concrete,Earth;Concrete,NA,NA,11,11,11,11,Less than 25 feet,147,NA,1800,Before 1900,12550,12550,9660,1446,18.1,NA,NA,70,NA,NA,NA,1976,NA,2021-04-02,2005-10-21,6,Significant,Satisfactory,2015-07-30,Yes,2019-06-11,https://damsafety.org/maine
405,3322088,01030003000323,0,010300031302,NA,NA,ME00085,NA,NA,NA,Weston - North Channel,North Channel Dam,NA,NA,ME00085,NA,Not Listed,Not Listed,02325-01-01,2,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,44.7648,-69.7214,Somerset,Maine,Skowhegan,0,Kennebec River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,NA,Buttress;Gravity;Concrete,Concrete,Rock,38,NA,NA,38,25-50 feet,529.5,NA,1921,1920-1929,18600,18600,18600,930,3894,143000,Controlled,507,NA,NA,NA,NA,Tainter (radial);Needle;Flap,2021-06-14,2020-09-30,1,High,Not Available,NA,Yes,2016-08-05,https://damsafety.org/maine
406,3322102,01030003000326,4.88948,010300031301,01047150,NA,ME00086,NA,NA,NA,Abenaki,Lower Dam,NA,NA,ME00086,Eagle Creek Renewable Energy NYRO,Private,Private,02364-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,44.792882,-69.885975,Somerset,Maine,"Anson, Madison, Starks",0,Kennebec River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,"Hydroelectric;Fire Protection, Stock, Or Small Fish Pond",Concrete,Gravity;Concrete,NA,NA,25,NA,NA,25,25-50 feet,1000,NA,1922,1920-1929,520,520,520,32,3148,126000,Controlled,784,NA,NA,NA,NA,NA,2021-06-14,2018-08-29,3,Low,Not Available,NA,Not Required,2020-12-01,https://damsafety.org/maine
427,3323408,01030003000489,0,010300031102,NA,NA,ME00122,NA,NA,2259131,Chesterville Marsh,Chesterville Marsh,Little Norridgewock Stream,NA,ME00122,IFW/State of Maine,State,State,549.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.551044999999995,-70.086835,Franklin,Maine,NA,NA,Little Norridgewock Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,"Fish and Wildlife Pond;Recreation;Water Supply;Fire Protection, Stock, Or Small Fish Pond;Other",Concrete,Gravity;Concrete;Other,NA,NA,19,13,19,19,Less than 25 feet,87,NA,1900,1900-1909,330,330,240,266,25,NA,NA,38,NA,NA,NA,1988,NA,2021-04-02,2016-08-31,12,Low,Not Rated,2016-08-31,Not Required,NA,https://damsafety.org/maine
428,3325782,01030003000537,0,010300032203,NA,NA,ME00468,NA,NA,NA,Wings Mills,Long Pond,Long Pond,NA,ME00468,Belgrade,Local Government,Local Government,358.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.432843,-69.901989,Kennebec,Maine,Mt. Vernon,NA,Belgrade Stream,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire Protection, Stock, Or Small Fish Pond","Fish and Wildlife Pond;Recreation;Fire Protection, Stock, Or Small Fish Pond",Timber Crib,Rockfill;Gravity;Timber Crib,NA,NA,9,4,9,9,Less than 25 feet,190,NA,1915,1910-1919,8000,8000,6300,2714,0,NA,NA,108,NA,NA,NA,1975,NA,2021-04-02,2018-09-04,12,Low,Fair,2018-09-04,Not Required,NA,https://damsafety.org/maine
439,3326456,01030003000789,0,010300032302,NA,NA,ME00302,NA,NA,NA,Echo Lake,Echo Lake,NA,NA,ME00302,"BPL, DOACF/State of Maine",State,State,149.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,46.626254,-68.011404,Aroostook,Maine,NA,NA,Arnold Brook,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Flood Risk Reduction,"Fish and Wildlife Pond;Recreation;Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond",Earth,Earth;Gravity,NA,NA,16.5,0,16.5,16.5,Less than 25 feet,154,NA,1963,1960-1969,257,257,220,83,1.54,NA,NA,30,NA,NA,NA,NA,NA,2021-04-02,2014-08-01,12,Low,Fair,2011-12-05,Not Required,NA,https://damsafety.org/maine
439,3326456,01030003000789,0,010300032302,NA,NA,ME00101,NA,NA,NA,Wilson Pond,Wilson Pond,Wilson Pond N. Monmouth,NA,ME00101,Tex-Tech Industries Inc.,Private,Private,362.0,0,NA,NA,Yes,Yes,MEMA,Yes,Yes,Yes,Maine,44.278279,-70.032894,Kennebec,Maine,North Monmouth,NA,WILSON STREAM,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,NA,NA,NA,NA,Recreation,Recreation;Flood Risk Reduction;Other,Concrete,Rockfill;Masonry;Earth;Gravity;Concrete,NA,NA,14,9,14,14,Less than 25 feet,130,NA,1900,1900-1909,12980,12980,10280,582,0,NA,NA,16,NA,NA,NA,1981,NA,2021-04-02,2019-06-06,12,Low,Not Rated,2011-06-10,Not Required,NA,https://damsafety.org/maine
444,3321854,01030003001833,18.0713,010300030301,NA,NA,ME00088,NA,NA,NA,Williams,NA,NA,NA,ME00088,Brookfield Renewable Power Inc. NYRO,Private,Private,02335-01-01,1,NA,NA,No,No,NA,No,No,No,Federal Energy Regulatory Commission,44.959751,-69.869723,Somerset,Maine,Solon,1,Kennebec River,"Congressional District 02, Maine",Jared F. Golden (D),NA,NA,NA,NA,NA,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,NA,NA,Hydroelectric,Recreation;Hydroelectric,Earth,Earth;Gravity;Concrete,NA,Rock,45,NA,NA,45,25-50 feet,680,NA,1939,1930-1939,4575,4575,4575,446,2720,48790,Controlled,508,NA,NA,NA,NA,Tainter (radial),2021-06-14,2017-05-31,3,Low,Not Available,NA,Not Required,2019-12-23,https://damsafety.org/maine
